Corporation,Card,PlayerGames,AvgEloChange
Cheung Shing Mars,Natural Preserve,455,1.52527472527473
Saturn Systems,Mars University,450,1.52222222222222
Mining Guild,Noctis City,461,1.51843817787419
Point Luna,Anti-Gravity Technology,543,1.51197053406998
Ecoline,Nitrogen-Rich Asteroid,573,1.5043630017452
Robinson Industries,Acquired Company,312,1.50320512820513
Cheung Shing Mars,Research Coordination,407,1.5012285012285
Tharsis Republic,Robotic Workforce,434,1.5
Mining Guild,Mining Area,561,1.49732620320856
Interplanetary Cinematics,Mass Converter,388,1.49226804123711
Saturn Systems,Electro Catapult,422,1.49052132701422
Point Luna,Inventors' Guild,546,1.48901098901099
CrediCor,Titanium Mine,587,1.4855195911414
Saturn Systems,Lightning Harvest,470,1.47659574468085
Tharsis Republic,AI Central,418,1.47607655502392
Ecoline,Comet,494,1.47570850202429
Vitor,Natural Preserve,478,1.47280334728033
Saturn Systems,Energy Saving,453,1.46136865342163
Interplanetary Cinematics,Nitrogen-Rich Asteroid,381,1.45931758530184
Point Luna,Asteroid Mining,524,1.45801526717557
Cheung Shing Mars,Quantum Extractor,394,1.45431472081218
Point Luna,Mohole Area,492,1.45121951219512
CrediCor,Asteroid Mining,603,1.45107794361526
Vitor,Space Hotels,526,1.44866920152091
Interplanetary Cinematics,Strip Mine,518,1.44787644787645
Teractor,Giant Ice Asteroid,426,1.44366197183099
Point Luna,Business Contacts,618,1.44336569579288
Interplanetary Cinematics,Fusion Power,415,1.44096385542169
Ecoline,Kelp Farming,549,1.4408014571949
Interplanetary Cinematics,Archaebacteria,373,1.43967828418231
CrediCor,Acquired Company,585,1.43760683760684
Point Luna,Windmills,574,1.43554006968641
Vitor,Industrial Microbes,478,1.43514644351464
Vitor,Quantum Extractor,449,1.43429844097996
Interplanetary Cinematics,Birds,394,1.43401015228426
CrediCor,Strip Mine,605,1.42314049586777
Saturn Systems,Optimal Aerobraking,499,1.42284569138277
Point Luna,Miranda Resort,572,1.42132867132867
CrediCor,CEO's Favourite Project,523,1.41873804971319
Point Luna,Terraforming Ganymede,549,1.41712204007286
Interplanetary Cinematics,Power Plant,422,1.40758293838863
Mining Guild,Corporate Stronghold,489,1.40695296523517
Teractor,Media Group,519,1.40655105973025
CrediCor,Olympus Conference,502,1.40438247011952
Cheung Shing Mars,Mars University,482,1.40041493775934
Ecoline,Quantum Extractor,448,1.39955357142857
Point Luna,Geothermal Power,534,1.39513108614232
Interplanetary Cinematics,Geothermal Power,456,1.39473684210526
Valley Trust,Mass Converter,555,1.39279279279279
Interplanetary Cinematics,Soil Factory,361,1.39058171745152
Cheung Shing Mars,Hired Raiders,451,1.39024390243902
Cheung Shing Mars,Sponsors,428,1.39018691588785
Valley Trust,Cartel,539,1.38775510204082
Valley Trust,Psychrophiles,461,1.38611713665944
Teractor,Great Escarpment Consortium,401,1.38154613466334
Robinson Industries,Earth Office,273,1.38095238095238
Tharsis Republic,Psychrophiles,379,1.37994722955145
Cheung Shing Mars,Optimal Aerobraking,416,1.37980769230769
Cheung Shing Mars,Flooding,421,1.37529691211401
Valley Trust,Research Outpost,537,1.37430167597765
Tharsis Republic,Mining Rights,451,1.37250554323725
Cheung Shing Mars,Asteroid Mining Consortium,396,1.37121212121212
Interplanetary Cinematics,Trans-Neptune Probe,381,1.37007874015748
Ecoline,Mining Area,484,1.3698347107438
Mining Guild,Anti-Gravity Technology,427,1.36768149882904
Interplanetary Cinematics,Nuclear Power,423,1.36643026004728
Mining Guild,Fuel Factory,418,1.36602870813397
Interplanetary Cinematics,Trees,364,1.36263736263736
Saturn Systems,Power Infrastructure,461,1.36225596529284
Interplanetary Cinematics,Optimal Aerobraking,428,1.36214953271028
Saturn Systems,Building Industries,454,1.36123348017621
Point Luna,Mangrove,527,1.35863377609108
Saturn Systems,Nitrogen-Rich Asteroid,464,1.35775862068966
Interplanetary Cinematics,Kelp Farming,362,1.35635359116022
Valley Trust,Natural Preserve,503,1.3558648111332
Ecoline,Industrial Microbes,481,1.35550935550936
Point Luna,Ice Asteroid,502,1.35458167330677
Saturn Systems,Mine,429,1.35431235431235
Interplanetary Cinematics,Protected Valley,473,1.35306553911205
Point Luna,Hackers,551,1.35208711433757
Valley Trust,Space Hotels,524,1.35114503816794
Saturn Systems,Solar Wind Power,482,1.350622406639
CrediCor,Research,545,1.35045871559633
CrediCor,Restricted Area,523,1.34799235181644
Ecoline,Restricted Area,476,1.34663865546218
Ecoline,Mining Rights,474,1.34388185654008
Point Luna,Research Coordination,547,1.3436928702011
Mining Guild,Earth Office,417,1.33812949640288
Saturn Systems,Acquired Company,471,1.33545647558386
CrediCor,Terraforming Ganymede,554,1.33393501805054
Saturn Systems,Ice Asteroid,458,1.3296943231441
Saturn Systems,Anti-Gravity Technology,485,1.32783505154639
Saturn Systems,Trees,467,1.32762312633833
Point Luna,Breathing Filters,552,1.32608695652174
Saturn Systems,Deimos Down,510,1.32549019607843
Mining Guild,Medical Lab,475,1.32210526315789
Mining Guild,Commercial District,517,1.321083172147
Mining Guild,Nuclear Zone,528,1.32007575757576
CrediCor,Nuclear Zone,530,1.31509433962264
Helion,Earth Catapult,302,1.3112582781457
Interplanetary Cinematics,Convoy From Europa,387,1.31007751937985
Ecoline,Sabotage,449,1.30957683741648
Ecoline,Large Convoy,443,1.30925507900677
Valley Trust,Olympus Conference,545,1.30825688073394
Saturn Systems,Development Center,491,1.30753564154786
Ecoline,Ice Asteroid,477,1.30398322851153
Cheung Shing Mars,Land Claim,385,1.3038961038961
Saturn Systems,Hackers,470,1.30212765957447
Robinson Industries,Mining Rights,266,1.30075187969925
CrediCor,Nitrogen-Rich Asteroid,619,1.30048465266559
Teractor,Mass Converter,423,1.30023640661939
Interplanetary Cinematics,Psychrophiles,324,1.2962962962963
Ecoline,Domed Crater,507,1.29388560157791
CrediCor,Sponsors,497,1.29376257545272
Vitor,Anti-Gravity Technology,489,1.28834355828221
Point Luna,Heat Trappers,546,1.28571428571429
CrediCor,Giant Ice Asteroid,609,1.28571428571429
Teractor,Inventors' Guild,419,1.28400954653938
Ecoline,Robotic Workforce,480,1.28333333333333
Saturn Systems,Beam From a Thorium Asteroid,664,1.28313253012048
Saturn Systems,Geothermal Power,472,1.27966101694915
Point Luna,Asteroid Mining Consortium,548,1.27919708029197
Cheung Shing Mars,Acquired Company,431,1.2784222737819
Interplanetary Cinematics,Ironworks,374,1.27807486631016
CrediCor,Industrial Microbes,511,1.27592954990215
Valley Trust,Space Elevator,443,1.27539503386005
Ecoline,Nuclear Zone,492,1.27439024390244
Vitor,Research Outpost,429,1.27272727272727
Ecoline,Deimos Down,504,1.2718253968254
Point Luna,Virus,541,1.27171903881701
Cheung Shing Mars,Deep Well Heating,437,1.27002288329519
Tharsis Republic,Cupola City,536,1.26865671641791
Vitor,Invention Contest,442,1.26696832579186
Vitor,Mars University,519,1.26589595375723
Interplanetary Cinematics,GHG Factories,425,1.26588235294118
Interplanetary Cinematics,Imported Hydrogen,381,1.26509186351706
Interplanetary Cinematics,Technology Demonstration,422,1.26303317535545
Valley Trust,Nuclear Zone,453,1.26048565121413
Saturn Systems,Space Elevator,434,1.26036866359447
Vitor,Cartel,467,1.25695931477516
Vitor,Giant Ice Asteroid,412,1.25485436893204
Cheung Shing Mars,Industrial Microbes,472,1.2521186440678
Teractor,Cartel,566,1.24911660777385
Interplanetary Cinematics,Research,400,1.2475
Valley Trust,Earth Office,501,1.2435129740519
Point Luna,Ice cap Melting,536,1.24253731343284
Interplanetary Cinematics,Mineral Deposit,439,1.23917995444191
PhoboLog,Io Mining Industries,651,1.23809523809524
Interplanetary Cinematics,Subterranean Reservoir,403,1.23573200992556
Teractor,Olympus Conference,464,1.23491379310345
Vitor,Mining Area,418,1.23444976076555
Mining Guild,Industrial Center,470,1.23404255319149
Interplanetary Cinematics,Business Network,361,1.23268698060942
Point Luna,Mining Area,516,1.23255813953488
Interplanetary Cinematics,Hackers,400,1.2325
Vitor,Ecological Zone,470,1.23191489361702
Point Luna,Hired Raiders,504,1.23015873015873
Ecoline,Mohole Area,498,1.2289156626506
Saturn Systems,Research,459,1.22657952069717
Cheung Shing Mars,Cartel,400,1.225
Interplanetary Cinematics,Local Heat Trapping,411,1.22384428223844
Interplanetary Cinematics,Peroxide Power,418,1.22248803827751
Saturn Systems,Giant Ice Asteroid,446,1.2219730941704
Mining Guild,Local Heat Trapping,420,1.21666666666667
Interplanetary Cinematics,Inventors' Guild,398,1.21608040201005
Ecoline,Imported Hydrogen,543,1.21546961325967
Interplanetary Cinematics,Hired Raiders,483,1.21532091097308
Vitor,Acquired Company,441,1.21315192743764
Interplanetary Cinematics,Space Station,379,1.21108179419525
Cheung Shing Mars,Electro Catapult,449,1.20935412026726
Cheung Shing Mars,Imported GHG,421,1.20902612826603
Interplanetary Cinematics,Designed Microorganisms,359,1.20891364902507
CrediCor,Bribed Committee,566,1.20848056537102
Cheung Shing Mars,Technology Demonstration,437,1.20594965675057
Point Luna,Power Infrastructure,582,1.20446735395189
Ecoline,Mine,448,1.19642857142857
Point Luna,Mineral Deposit,582,1.19587628865979
Mining Guild,Kelp Farming,429,1.1958041958042
Interplanetary Cinematics,Capital,397,1.19143576826196
Point Luna,Fuel Factory,533,1.19136960600375
Robinson Industries,AI Central,287,1.18815331010453
Saturn Systems,Sabotage,438,1.18721461187215
Ecoline,Optimal Aerobraking,467,1.18629550321199
Interplanetary Cinematics,Bribed Committee,416,1.18509615384615
Mining Guild,Asteroid Mining Consortium,417,1.17985611510791
CrediCor,Inventors' Guild,557,1.17953321364452
Cheung Shing Mars,Anti-Gravity Technology,422,1.17772511848341
Interplanetary Cinematics,Virus,383,1.17493472584856
Interplanetary Cinematics,Giant Space Mirror,391,1.17391304347826
Ecoline,Advanced Alloys,381,1.17060367454068
Mining Guild,Martian Rails,435,1.17011494252874
Interplanetary Cinematics,Predators,426,1.16666666666667
CrediCor,Medical Lab,486,1.16460905349794
Interplanetary Cinematics,Imported Nitrogen,384,1.1640625
CrediCor,Mineral Deposit,573,1.16230366492147
Cheung Shing Mars,GHG Producing Bacteria,390,1.16153846153846
Ecoline,Natural Preserve,415,1.16144578313253
Cheung Shing Mars,Invention Contest,442,1.1606334841629
Point Luna,Large Convoy,524,1.16030534351145
Point Luna,Big Asteroid,561,1.15686274509804
Ecoline,Mass Converter,428,1.15654205607477
Point Luna,Colonizer Training Camp,524,1.15648854961832
Cheung Shing Mars,Olympus Conference,472,1.15466101694915
Saturn Systems,Subterranean Reservoir,462,1.15367965367965
Tharsis Republic,Advanced Alloys,413,1.1501210653753
Interplanetary Cinematics,Solar Power,436,1.14908256880734
Ecoline,Urbanized Area,498,1.14859437751004
Robinson Industries,Space Hotels,266,1.14661654135338
Point Luna,Beam From a Thorium Asteroid,514,1.14591439688716
Tharsis Republic,Strip Mine,432,1.14583333333333
Point Luna,Capital,511,1.14481409001957
Saturn Systems,Psychrophiles,443,1.14446952595937
Ecoline,Space Elevator,412,1.14320388349515
Interplanetary Cinematics,Martian Survey,367,1.13896457765668
Interplanetary Cinematics,Titanium Mine,426,1.13849765258216
Cheung Shing Mars,Inventors' Guild,420,1.13809523809524
Valley Trust,Mining Rights,480,1.1375
Tharsis Republic,Heat Trappers,458,1.1353711790393
Valley Trust,Robotic Workforce,542,1.13468634686347
Interplanetary Cinematics,Solar Wind Power,398,1.13316582914573
Cheung Shing Mars,Space Elevator,445,1.13258426966292
Vitor,Mine,445,1.13033707865169
Vitor,Asteroid Mining Consortium,445,1.13033707865169
Interplanetary Cinematics,Earth Office,388,1.12886597938144
Point Luna,Ironworks,569,1.12653778558875
Tharsis Republic,Mining Area,480,1.125
Ecoline,Food Factory,481,1.12474012474012
Mining Guild,Quantum Extractor,438,1.12100456621005
Interplanetary Cinematics,Investment Loan,418,1.11961722488038
Interplanetary Cinematics,Dust Seals,380,1.11842105263158
Interplanetary Cinematics,Micro-Mills,406,1.11822660098522
Cheung Shing Mars,Mohole Area,461,1.11713665943601
Cheung Shing Mars,Artificial Lake,413,1.11622276029056
Cheung Shing Mars,Strip Mine,493,1.11561866125761
Point Luna,Fish,508,1.11417322834646
Cheung Shing Mars,Lunar Beam,396,1.11111111111111
Tharsis Republic,Research,450,1.11111111111111
Valley Trust,Electro Catapult,469,1.11087420042644
Mining Guild,Protected Valley,497,1.11066398390342
Saturn Systems,Business Contacts,488,1.11065573770492
Mining Guild,Psychrophiles,372,1.11021505376344
Robinson Industries,Research Outpost,261,1.10727969348659
Teractor,Nitrogen-Rich Asteroid,433,1.10392609699769
Interplanetary Cinematics,Pets,347,1.10374639769452
Saturn Systems,Fuel Factory,451,1.1019955654102
Vitor,Optimal Aerobraking,432,1.10185185185185
Valley Trust,Mine,476,1.09873949579832
Interplanetary Cinematics,Algae,385,1.0987012987013
Vitor,Space Elevator,450,1.09777777777778
CrediCor,Development Center,528,1.09659090909091
Valley Trust,Optimal Aerobraking,488,1.09631147540984
Valley Trust,Miranda Resort,500,1.096
Point Luna,Kelp Farming,528,1.09469696969697
Mining Guild,Capital,460,1.09347826086957
Cheung Shing Mars,Nitrophilic Moss,407,1.09336609336609
Interplanetary Cinematics,Cupola City,429,1.09324009324009
Saturn Systems,Hired Raiders,482,1.09128630705394
Cheung Shing Mars,Space Hotels,396,1.09090909090909
Mining Guild,Greenhouses,448,1.08928571428571
Interplanetary Cinematics,Carbonate Processing,373,1.08847184986595
CrediCor,Lava Flows,580,1.08793103448276
CrediCor,Immigration Shuttles,593,1.08768971332209
Ecoline,Big Asteroid,495,1.08686868686869
Point Luna,Deep Well Heating,543,1.0865561694291
Saturn Systems,Inventors' Guild,464,1.08620689655172
Saturn Systems,Small Animals,432,1.08564814814815
Vitor,Mass Converter,482,1.08298755186722
Point Luna,CEO's Favourite Project,516,1.08139534883721
Interplanetary Cinematics,Commercial District,435,1.08045977011494
Mining Guild,Energy Tapping,449,1.08017817371938
Ecoline,Media Group,452,1.07964601769911
CrediCor,Wave Power,523,1.07839388145315
Point Luna,Sabotage,513,1.07797270955166
Saturn Systems,Security Fleet,464,1.07543103448276
Teractor,Asteroid Mining Consortium,378,1.07407407407407
Mining Guild,Mass Converter,422,1.07345971563981
Teractor,Acquired Company,504,1.0734126984127
Cheung Shing Mars,Titanium Mine,436,1.07339449541284
CrediCor,Cupola City,522,1.0727969348659
Vitor,Io Mining Industries,476,1.07142857142857
Saturn Systems,Release of Inert Gases,456,1.06798245614035
Cheung Shing Mars,Capital,476,1.06512605042017
Cheung Shing Mars,Ore Processor,430,1.06279069767442
Tharsis Republic,Mine,447,1.06263982102908
Teractor,Sponsors,524,1.06106870229008
Valley Trust,Steelworks,516,1.06007751937985
Point Luna,Solar Wind Power,536,1.05970149253731
Saturn Systems,Strip Mine,458,1.0589519650655
Saturn Systems,Virus,520,1.05769230769231
Vitor,Mining Rights,441,1.05668934240363
Teractor,Nuclear Zone,482,1.05601659751037
Ecoline,Carbonate Processing,463,1.05399568034557
Interplanetary Cinematics,Nitrophilic Moss,371,1.05121293800539
Point Luna,Imported Nitrogen,549,1.05100182149362
Point Luna,Martian Survey,538,1.05018587360595
Point Luna,Optimal Aerobraking,543,1.04604051565378
Point Luna,Underground City,535,1.04485981308411
Point Luna,Lightning Harvest,499,1.04408817635271
Point Luna,Fueled Generators,535,1.04299065420561
Robinson Industries,Development Center,286,1.04195804195804
Point Luna,Tropical Resort,527,1.04174573055028
Teractor,Natural Preserve,381,1.03937007874016
Teractor,Anti-Gravity Technology,386,1.03886010362694
Robinson Industries,Restricted Area,312,1.03846153846154
Point Luna,Physics Complex,534,1.0374531835206
Mining Guild,Great Escarpment Consortium,490,1.03469387755102
Point Luna,Towing a Comet,555,1.03423423423423
Mining Guild,Olympus Conference,412,1.03398058252427
CrediCor,Fuel Factory,542,1.03321033210332
Interplanetary Cinematics,Satellites,372,1.02956989247312
Interplanetary Cinematics,Invention Contest,468,1.02777777777778
Helion,Space Elevator,259,1.02702702702703
Cheung Shing Mars,Energy Tapping,419,1.02625298329356
PhoboLog,AI Central,239,1.02510460251046
Saturn Systems,Commercial District,469,1.02345415778252
Interplanetary Cinematics,Artificial Photosynthesis,390,1.02307692307692
Interplanetary Cinematics,Herbivores,392,1.02295918367347
CrediCor,Technology Demonstration,527,1.02277039848197
Mining Guild,Subterranean Reservoir,500,1.022
Interplanetary Cinematics,Big Asteroid,372,1.02150537634409
Point Luna,Power Supply Consortium,509,1.0196463654224
Saturn Systems,Martian Rails,513,1.01949317738791
Cheung Shing Mars,Ecological Zone,414,1.01932367149758
Vitor,Building Industries,491,1.0183299389002
Ecoline,Ants,487,1.01642710472279
Interplanetary Cinematics,Fueled Generators,393,1.01272264631043
Ecoline,Investment Loan,519,1.01156069364162
Point Luna,Rad-Suits,543,1.01104972375691
Point Luna,Adapted Lichen,573,1.01047120418848
Ecoline,Peroxide Power,494,1.01012145748988
Point Luna,Pets,592,1.00844594594595
Point Luna,Io Mining Industries,510,1.0078431372549
Mining Guild,Arctic Algae,392,1.00765306122449
Saturn Systems,Comet,462,1.00649350649351
Robinson Industries,Trees,314,1.00636942675159
Saturn Systems,Great Escarpment Consortium,447,1.00447427293065
Point Luna,Rover Construction,532,1.00375939849624
CrediCor,Towing a Comet,600,1.00333333333333
Saturn Systems,Business Network,507,1.00197238658777
CrediCor,Designed Microorganisms,570,1
Interplanetary Cinematics,Ice Asteroid,356,1
Point Luna,Steelworks,552,1
Cheung Shing Mars,Moss,436,1
Point Luna,Building Industries,541,0.99815157116451
Point Luna,Interstellar Colony Ship,546,0.996336996336996
Ecoline,Soletta,513,0.996101364522417
Teractor,Earth Office,503,0.996023856858847
Cheung Shing Mars,Domed Crater,420,0.995238095238095
Interplanetary Cinematics,Tectonic Stress Power,414,0.995169082125604
Cheung Shing Mars,Fusion Power,411,0.995133819951338
Vitor,Sabotage,483,0.991718426501035
Saturn Systems,Industrial Center,464,0.989224137931034
Interplanetary Cinematics,Acquired Company,354,0.988700564971751
Teractor,Deimos Down,415,0.985542168674699
Tharsis Republic,Giant Ice Asteroid,410,0.985365853658537
Interplanetary Cinematics,Deep Well Heating,459,0.984749455337691
Valley Trust,Heat Trappers,454,0.984581497797357
CrediCor,Methane From Titan,569,0.984182776801406
Point Luna,Magnetic Field Generators,545,0.98348623853211
Point Luna,Ganymede Colony,534,0.98314606741573
Tharsis Republic,Nuclear Zone,439,0.981776765375854
CrediCor,Big Asteroid,577,0.980935875216638
Saturn Systems,Ganymede Colony,624,0.980769230769231
Interplanetary Cinematics,Building Industries,410,0.980487804878049
Point Luna,Wave Power,538,0.977695167286245
Vitor,Deimos Down,441,0.977324263038549
Teractor,Electro Catapult,434,0.976958525345622
Point Luna,Quantum Extractor,599,0.976627712854758
Ecoline,Towing a Comet,513,0.976608187134503
Ecoline,Shuttles,503,0.976143141153082
CrediCor,Archaebacteria,539,0.975881261595547
Point Luna,Energy Tapping,536,0.975746268656716
Vitor,Strip Mine,441,0.972789115646258
CrediCor,Natural Preserve,531,0.971751412429379
Interplanetary Cinematics,Robotic Workforce,383,0.968668407310705
Ecoline,Terraforming Ganymede,500,0.968
Point Luna,Urbanized Area,554,0.967509025270758
Mining Guild,Miranda Resort,425,0.967058823529412
Interplanetary Cinematics,Lightning Harvest,370,0.964864864864865
Tharsis Republic,Acquired Company,454,0.964757709251101
Point Luna,Lichen,525,0.961904761904762
Point Luna,Local Heat Trapping,543,0.961325966850829
Saturn Systems,Bribed Committee,438,0.961187214611872
Cheung Shing Mars,Fueled Generators,460,0.960869565217391
